Technique,Category,Subcategory (link to source code),Notes,Subfolder,Authors,Institution,function/module name,doi,Tester,Test status (empty/in-progress/complete)
DCE,Bolus arrival time,[piecewise linear quadratic function](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/BAT_estimation.py),Cheong et al (DOI: 10.1088/0031-9155/48/5/403),LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",BAT_linquad,,tbd,
DCE,Bolus arrival time,[fitting Kety (Tofts) model to first third of the curve](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/BAT_estimation.py),,LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",BAT_kety,,tbd,
DCE,Input Functions,[load AIF](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/dce_aif.py),load from txt,MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",read_AIF,https://doi.org/10.21105/joss.03523,tbd,
DCE,Input Functions,[Parker AIF](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/dce_aif.py),,MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",compute_population_AIF,https://doi.org/10.21105/joss.03523,JK/PvH,completed
DCE,Input Functions,[patient-specific AIF](../src/original/MJT_UoEdinburgh_UK/aifs.py),constructed from time-concentration data,MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",patientSpecific,,tbd,
DCE,Input Functions,[Parker AIF](../src/original/MJT_UoEdinburgh_UK/aifs.py),"Parker AIF, Parker-like AIF",MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",Parker,,JK/PvH,completed
DCE,Input Functions,[Manning AIF](../src/original/MJT_UoEdinburgh_UK/aifs.py),Manning et al (https://doi.org/10.1002/mrm.28833),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","ManningFast, ManningSlow",,tbd,completed
DCE,Input Functions,[Heye AIF](../src/original/MJT_UoEdinburgh_UK/aifs.py),Heye et al (https://doi.org/10.1016/j.neuroimage.2015.10.018),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",Heye,,tbd,completed
DCE,Input Functions,[AIF parameterization](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),,OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK","Cosine4AIF, Cosine8AIF",https://doi.org/10.1088/0031-9155/53/5/005; https://doi.org/10.1007/s00330-015-4012-9,tbd,
DCE,Input Functions,[Head-and-neck population AIF](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),Wong et al (DOI: https://doi.org/10.2967/jnumed.116.174433),OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK",aifPopHN,,tbd,
DCE,Input Functions,[Parker AIF](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),,OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK",aifPopPMB,,tbd,
DCE,Input Functions,[load AIF](../src/original/OGJ_OsloU_NOR/MRImageAnalysis/DCE/ArterialInputFunction.py),from txt,OGJ_OsloU_NOR,Ole Gunnar Johansen,"University of Oslo, Norway",loadStandard,,tbd,
DCE,Input Functions,[AIF parameterization](../src/original/OGJ_OsloU_NOR/MRImageAnalysis/DCE/ArterialInputFunction.py),fit gamma-variate function,OGJ_OsloU_NOR,Ole Gunnar Johansen,"University of Oslo, Norway",gammaVariateFit,,tbd,
DCE,Input Functions,[Georgiou AIF](../src/original/PvH_NKI_NL/AIF/PopulationAIF.py),Georgiou et al (DOI: 10.1002/mrm.27524),PvH_NKI,Petra van Houdt,"the Netherlands Cancer Institute, the Netherlands",GeorgiouAIF,,JK/PvH,completed
DCE,Input Functions,[Parker AIF](../src/original/PvH_NKI_NL/AIF/PopulationAIF.py),,PvH_NKI,Petra van Houdt,"the Netherlands Cancer Institute, the Netherlands",ParkerAIF,,JK/PvH,completed
DCE,Input Functions,[Parker AIF](../src/original/ST_USyd_AUS/InputFunctions.py),,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia","AIF, variableAIF",,JK/PvH,completed
DCE,Input Functions,[preclinical AIF](../src/original/ST_USyd_AUS/InputFunctions.py),McGrath et al (DOI: 10.1002/mrm.21959),ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",preclinicalAIF,,JK/PvH,completed
DCE,Miscellaneous,[enhancement detection](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),check for enhancement,OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK",enhance,,tbd,
DCE,Parameter derivation,[iAUC](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/tissue_concentration.py),,MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",compute_IAUC,https://doi.org/10.21105/joss.03523,tbd,
DCE,Pharmacokinetic models,[Tofts](../src/original/DS_BW_VanderBiltUMC_USA/dcemri.py),NLLS fitting (+forward model),DS_BW_VanderBiltUMC_USA,"David Smith, Brian Welch","VanderBilt University Medical Center, USA","tofts_integral, fit_tofts_model",,tdd,
DCE,Pharmacokinetic models,[extended Tofts](../src/original/DS_BW_VanderBiltUMC_USA/dcemri.py),NLLS fitting (+forward model),DS_BW_VanderBiltUMC_USA,"David Smith, Brian Welch","VanderBilt University Medical Center, USA","ext_tofts_integral, fit_tofts_model",,tbd,
DCE,Pharmacokinetic models,[Tofts](../src/original/LCB_BNI_USA/dce.py),NLLS fitting (+ forward model),LCB_BNI_USA,Laura Bell,"Barrow Neurological Institute, USA","tofts_model, fit_tofts",,ST/OGC,completed
DCE,Pharmacokinetic models,[2-cmp exchange](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/models.py),forward model,LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",TwoCXM,,MJT,completed
DCE,Pharmacokinetic models,[2-cmp uptake](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/models.py),forward model,LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",TwoCUM,,MJT,completed
DCE,Pharmacokinetic models,[AATH](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/models.py),forward model,LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",AATH,,tbd,
DCE,Pharmacokinetic models,[extended Tofts](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/models.py),forward model,LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",ExtKety,,ST/OGC,completed
DCE,Pharmacokinetic models,[Patlak](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/models.py),forward model,LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",Patlak,,MJT,completed
DCE,Pharmacokinetic models,[Tofts](../src/original/LEK_UoEdinburgh_UK/PharmacokineticModelling/models.py),forward model,LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",Kety,,ST/OGC,completed
DCE,Pharmacokinetic models,[2-cmp exchange](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/two_cxm_model.py),LLSQ fitting (+forward model),MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",two_cxm_model,https://doi.org/10.21105/joss.03523,MJT,completed
DCE,Pharmacokinetic models,[2-cmp filtration](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/two_cfm_model.py),LLSQ fitting (+forward model),MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",two_cfm_model,https://doi.org/10.21105/joss.03523,tbd,
DCE,Pharmacokinetic models,[active uptake and efflux (AUEM)](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/active_uptake_model.py),LLSQ fitting (+forward model),MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",active_uptake_model,https://doi.org/10.21105/joss.03523,tbd,
DCE,Pharmacokinetic models,[dual-inlet general model](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/dibem.py),LLSQ fitting (+forward model),MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",dibem,https://doi.org/10.21105/joss.03523,tbd,
DCE,Pharmacokinetic models,[extended Tofts](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/tofts_model.py),LLSQ fitting (+forward model),MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",tofts_model,https://doi.org/10.21105/joss.03523,ST/OGC,completed
