t;CAortaArteries
0;0
0.1;0
0.2;0
0.3;0
0.4;0
0.5;0
0.6;0
0.7;0
0.8;0
0.9;0
1;0
1.1;0
1.2;0
1.3;0
1.4;0
1.5;0
1.6;0
1.7;0
1.8;0
1.9;0
2;0
2.1;0
2.2;0
2.3;0
2.4;0
2.5;0
2.6;0
2.7;0
2.8;0
2.9;0
3;0
3.1;0
3.2;0
3.3;0
3.4;0
3.5;0
3.6;0
3.7;0
3.8;0
3.9;0
4;0
4.1;0
4.2;0
4.3;0
4.4;0
4.5;0
4.6;0
4.7;0
4.8;0
4.9;0
5;0
5.1;0
5.2;0
5.3;0
5.4;0
5.5;0
5.6;0
5.7;0
5.8;0
5.9;0
6;0
6.1;0
6.2;0
6.3;0
6.4;0
6.5;0
6.6;0
6.7;0
6.8;0
6.9;0
7;0
7.1;0
7.2;0
7.3;0
7.4;0
7.5;0
7.6;0
7.7;0
7.8;0
7.9;0
8;0
8.1;0
8.2;3.77E-14
8.3;7.02E-12
8.4;4.11E-10
8.5;8.67E-09
8.6;7.15E-08
8.7;3.58E-07
8.8;1.31E-06
8.9;3.83E-06
9;9.55E-06
9.1;2.11E-05
9.2;4.25E-05
9.3;7.92E-05
9.4;1.39E-04
9.5;2.31E-04
9.6;3.69E-04
9.7;5.67E-04
9.8;8.45E-04
9.9;0.001223206
10;0.001729034
10.1;0.002391804
10.2;0.003245465
10.3;0.004328246
10.4;0.005682754
10.5;0.007356017
10.6;0.009399501
10.7;0.01186906
10.8;0.014824862
10.9;0.018331256
11;0.022456604
11.1;0.027273077
11.2;0.032856404
11.3;0.039285591
11.4;0.046642616
11.5;0.05501208
11.6;0.064480848
11.7;0.075137664
11.8;0.087072749
11.9;0.100377386
12;0.115143497
12.1;0.13146322
12.2;0.149428472
12.3;0.169130529
12.4;0.190659599
12.5;0.21410439
12.6;0.239551662
12.7;0.267085717
12.8;0.296787861
12.9;0.328735822
13;0.363003155
13.1;0.399658653
13.2;0.438765746
13.3;0.480381913
13.4;0.52455813
13.5;0.571338343
13.6;0.620758972
13.7;0.672848463
13.8;0.727626881
13.9;0.785105559
14;0.845286795
14.1;0.908163619
14.2;0.973719619
14.3;1.041928833
14.4;1.112755716
14.5;1.186155158
14.6;1.262072581
14.7;1.340444094
14.8;1.421196709
14.9;1.504248616
15;1.58950952
15.1;1.676881018
15.2;1.766257035
15.3;1.857524294
15.4;1.950562833
15.5;2.045246545
15.6;2.141443755
15.7;2.239017818
15.8;2.337827726
15.9;2.437728744
16;2.538573035
16.1;2.640210303
16.2;2.742488424
16.3;2.845254075
16.4;2.948353353
16.5;3.051632376
16.6;3.15493787
16.7;3.258117731
16.8;3.361021567
16.9;3.463501209
17;3.565411195
17.1;3.666609226
17.2;3.766956584
17.3;3.866318519
17.4;3.964564606
17.5;4.061569059
17.6;4.157211018
17.7;4.251374791
